 #aa  mm  Ext Proba
   1   1  91   0.444E-37
   1   1  92   0.726E-36
   1   1  93   0.420E-35
   1   1  94   0.329E-34
   1   1  95   0.302E-30
   1   1  96   0.201E-30
   1   1  97   0.150E-29
   1   1  98   0.161E-29
   1   1  99   0.504E-18
   1   1 100   0.274E-23
   1   1 101   0.175E-15
   1   1 104   0.947E-15
   1   1 105   0.207E-11
   1   1 106   0.295E-10
   1   1 107   0.144E-10
   1   1 108   0.288E-10
   1   1 109   0.381E-10
   1   1 110   0.181E-10
   1   1 111   0.325E-11
   1   2  92   0.460E-35
   1   2  93   0.673E-36
   1   2  95   0.533E-12
   1   2  96   0.616E-27
   1   2 100   0.926E-12
   1   2 102   0.475E-10
   1   2 103   0.167E-10
   1   2 104   0.235E-11
   1   2 105   0.440E-37
   1   2 107   0.918E-11
   1   2 108   0.262E-18
   1   2 109   0.103E-11
   1   2 110   0.470E-11
   1   2 111   0.576E-11
   1   3  91   0.715E-25
   1   3  92   0.301E-37
   1   3  93   0.295E-35
   1   3  94   0.196E-22
   1   3  95   0.187E-19
   1   3  96   0.393E-32
   1   3  98   0.113E-23
   1   3  99   0.288E-26
   1   3 100   0.153E-26
   1   3 101   0.213E-11
   1   3 102   0.467E-20
   1   3 103   0.394E-14
   1   3 104   0.320E-15
   1   3 105   0.829E-11
   1   3 106   0.746E-13
   1   3 107   0.269E-11
   1   3 108   0.151E-10
   1   3 109   0.718E-11
   1   3 110   0.125E-10
   1   4  90   0.194E-33
   1   4  92   0.420E-33
   1   4  93   0.130E-36
   1   4  95   0.313E-32
   1   4  97   0.102E-36
   1   4  98   0.144E-29
   1   4  99   0.276E-21
   1   4 101   0.505E-19
   1   4 102   0.771E-27
   1   4 103   0.111E-23
   1   4 104   0.425E-25
   1   4 105   0.182E-14
   1   4 107   0.244E-13
   1   4 108   0.758E-11
   1   4 109   0.105E-10
   1   4 110   0.236E-10
   1   4 111   0.581E-11
   1   5  95   0.160E-33
   1   5  96   0.152E-33
   1   5  97   0.345E-25
   1   5  98   0.413E-27
   1   5  99   0.420E-29
   1   5 100   0.132E-25
   1   5 101   0.897E-17
   1   5 102   0.367E-14
   1   5 103   0.538E-15
   1   5 104   0.889E-16
   1   5 105   0.546E-14
   1   5 106   0.112E-15
   1   5 107   0.851E-11
   1   5 108   0.273E-12
   1   5 109   0.211E-11
   1   5 110   0.560E-12
   1   6  91   0.121E-30
   1   6  92   0.637E-35
   1   6  93   0.130E-33
   1   6  94   0.382E-27
   1   6  95   0.268E-27
   1   6  96   0.151E-24
   1   6  97   0.182E-23
   1   6  98   0.601E-22
   1   6  99   0.812E-28
   1   6 100   0.309E-30
   1   6 101   0.524E-27
   1   6 102   0.288E-21
   1   6 103   0.261E-13
   1   6 104   0.484E-14
   1   6 105   0.460E-18
   1   6 107   0.488E-11
   1   6 108   0.344E-11
   1   6 109   0.100E-11
   1   6 110   0.153E-10
   1   7  91   0.336E-31
   1   7  93   0.515E-30
   1   7  94   0.169E-36
   1   7  95   0.436E-26
   1   7  96   0.357E-21
   1   7  97   0.375E-21
   1   7  98   0.495E-24
   1   7  99   0.303E-24
   1   7 100   0.565E-21
   1   7 101   0.761E-21
   1   7 102   0.163E-17
   1   7 103   0.562E-22
   1   7 104   0.314E-21
   1   7 105   0.434E-21
   1   7 106   0.925E-16
   1   7 107   0.748E-21
   1   7 108   0.137E-12
   1   7 109   0.163E-10
   1   7 110   0.136E-10
   1   7 111   0.940E-11
   1   8  92   0.195E-33
   1   8  93   0.942E-29
   1   8  94   0.823E-30
   1   8  95   0.981E-25
   1   8  96   0.145E-28
   1   8  97   0.439E-26
   1   8  98   0.671E-27
   1   8  99   0.460E-25
   1   8 100   0.806E-24
   1   8 101   0.626E-20
   1   8 102   0.931E-20
   1   8 103   0.336E-19
   1   8 104   0.180E-19
   1   8 105   0.716E-15
   1   8 106   0.704E-18
   1   8 107   0.605E-15
   1   8 108   0.216E-11
   1   8 109   0.432E-12
   1   8 110   0.580E-11
   1   8 111   0.153E-10
   1   9  89   0.191E-33
   1   9  91   0.137E-30
   1   9  92   0.186E-29
   1   9  93   0.684E-28
   1   9  94   0.226E-29
   1   9  95   0.703E-27
   1   9  96   0.250E-26
   1   9  97   0.382E-26
   1   9  98   0.262E-26
   1   9  99   0.252E-24
   1   9 100   0.791E-23
   1   9 101   0.348E-18
   1   9 102   0.280E-21
   1   9 103   0.214E-22
   1   9 104   0.104E-21
   1   9 105   0.906E-13
   1   9 106   0.170E-15
   1   9 107   0.673E-14
   1   9 108   0.117E-11
   1   9 109   0.107E-11
   1   9 110   0.489E-13
   1   9 111   0.375E-11
   1  10  89   0.254E-37
   1  10  92   0.499E-34
   1  10  93   0.956E-33
   1  10  94   0.527E-36
   1  10  95   0.161E-34
   1  10  96   0.756E-37
   1  10  97   0.389E-22
   1  10  98   0.170E-21
   1  10  99   0.130E-21
   1  10 100   0.572E-23
   1  10 101   0.803E-21
   1  10 102   0.505E-12
   1  10 103   0.555E-10
   1  10 104   0.791E-11
   1  10 105   0.296E-13
   1  10 106   0.236E-12
   1  10 107   0.320E-11
   1  10 108   0.127E-11
   1  10 109   0.197E-10
   1  10 110   0.109E-10
   1  10 111   0.783E-11
   1  11  87   0.239E-35
   1  11  89   0.414E-37
   1  11  90   0.121E-34
   1  11  93   0.300E-34
   1  11  94   0.519E-29
   1  11  95   0.261E-27
   1  11  96   0.106E-30
   1  11  97   0.657E-31
   1  11  98   0.265E-20
   1  11  99   0.986E-21
   1  11 100   0.287E-23
   1  11 101   0.160E-22
   1  11 102   0.347E-25
   1  11 103   0.209E-24
   1  11 104   0.104E-20
   1  11 105   0.357E-20
   1  11 106   0.151E-10
   1  11 107   0.225E-10
   1  11 108   0.348E-10
   1  11 109   0.288E-12
   1  11 110   0.129E-10
   1  11 111   0.906E-11
   1  12  88   0.173E-37
   1  12  92   0.923E-26
   1  12  93   0.651E-35
   1  12  94   0.113E-26
   1  12  95   0.370E-35
   1  12  96   0.457E-26
   1  12  97   0.113E-34
   1  12  98   0.409E-28
   1  12  99   0.333E-21
   1  12 100   0.644E-21
   1  12 101   0.610E-23
   1  12 102   0.905E-18
   1  12 103   0.935E-22
   1  12 104   0.620E-20
   1  12 105   0.267E-21
   1  12 106   0.113E-19
   1  12 107   0.117E-17
   1  12 108   0.464E-20
   1  12 109   0.125E-22
   1  12 110   0.193E-16
   1  12 111   0.750E-11
   1  13  89   0.555E-32
   1  13  91   0.153E-33
   1  13  93   0.349E-31
   1  13  95   0.606E-28
   1  13  97   0.131E-21
   1  13  98   0.147E-25
   1  13  99   0.197E-15
   1  13 100   0.490E-24
   1  13 101   0.214E-21
   1  13 102   0.716E-21
   1  13 103   0.139E-17
   1  13 104   0.213E-20
   1  13 105   0.334E-12
   1  13 106   0.978E-11
   1  13 107   0.223E-19
   1  13 108   0.268E-10
   1  13 109   0.177E-10
   1  13 110   0.598E-12
   1  13 111   0.884E-11
   1  14  91   0.112E-33
   1  14  93   0.119E-29
   1  14  94   0.833E-31
   1  14  95   0.539E-28
   1  14  96   0.115E-28
   1  14  98   0.974E-22
   1  14  99   0.406E-29
   1  14 100   0.215E-24
   1  14 101   0.205E-25
   1  14 102   0.246E-21
   1  14 103   0.305E-21
   1  14 104   0.175E-21
   1  14 105   0.843E-23
   1  14 106   0.133E-17
   1  14 107   0.460E-12
   1  14 108   0.156E-20
   1  14 109   0.789E-11
   1  14 110   0.140E-10
   1  14 111   0.123E-18
   1  15  91   0.238E-37
   1  15  92   0.417E-27
   1  15  93   0.121E-34
