 #aa  mm  Ext Proba
   1   1  71   0.165E-37
   1   1  72   0.226E-35
   1   1  73   0.661E-37
   1   1  74   0.626E-36
   1   1  75   0.726E-34
   1   1  76   0.228E-33
   1   1  77   0.148E-30
   1   1  78   0.151E-30
   1   1  79   0.638E-29
   1   1  80   0.157E-29
   1   1  81   0.165E-24
   1   1  82   0.216E-22
   1   1  83   0.758E-25
   1   1  84   0.198E-19
   1   1  85   0.202E-22
   1   1  86   0.191E-16
   1   1  87   0.939E-18
   1   1  88   0.103E-16
   1   1  90   0.992E-15
   1   1  91   0.320E-13
   1   1  92   0.157E-12
   1   1  93   0.140E-13
   1   1  94   0.107E-13
   1   1  95   0.157E-10
   1   1  96   0.121E-10
   1   1  97   0.688E-10
   1   1  98   0.547E-09
   1   1  99   0.472E-08
   1   1 100   0.192E-18
   1   1 101   0.344E-08
   1   1 102   0.504E-08
   1   1 103   0.106E-09
   1   1 104   0.922E-09
   1   1 105   0.806E-09
   1   1 106   0.991E-09
   1   1 107   0.354E-12
   1   1 108   0.623E-31
   1   1 109   0.527E-09
   1   2  72   0.266E-35
   1   2  73   0.162E-34
   1   2  74   0.146E-32
   1   2  75   0.386E-29
   1   2  76   0.568E-28
   1   2  79   0.757E-23
   1   2  80   0.127E-20
   1   2  81   0.899E-25
   1   2  82   0.369E-23
   1   2  83   0.110E-20
   1   2  84   0.687E-22
   1   2  85   0.262E-18
   1   2  86   0.769E-18
   1   2  87   0.157E-17
   1   2  88   0.826E-16
   1   2  90   0.288E-15
   1   2  91   0.138E-14
   1   2  92   0.222E-10
   1   2  93   0.104E-12
   1   2  94   0.162E-12
   1   2  95   0.573E-12
   1   2  96   0.511E-08
   1   2  97   0.162E-10
   1   2  98   0.246E-08
   1   2  99   0.259E-09
   1   2 100   0.185E-10
   1   2 101   0.129E-12
   1   2 102   0.213E-10
   1   2 103   0.183E-31
   1   2 104   0.342E-20
   1   2 105   0.626E-11
   1   2 106   0.266E-09
   1   2 107   0.109E-09
   1   2 108   0.145E-15
   1   2 109   0.215E-11
   1   2 110   0.106E-08
   1   2 111   0.189E-10
   1   3  70   0.148E-37
   1   3  72   0.310E-37
   1   3  73   0.103E-34
   1   3  74   0.923E-34
   1   3  75   0.112E-29
   1   3  76   0.646E-27
   1   3  77   0.377E-28
   1   3  78   0.584E-30
   1   3  79   0.452E-29
   1   3  80   0.856E-28
   1   3  81   0.680E-28
   1   3  82   0.525E-22
   1   3  83   0.466E-21
   1   3  84   0.424E-18
   1   3  85   0.267E-19
   1   3  86   0.211E-19
   1   3  87   0.115E-17
   1   3  88   0.176E-15
   1   3  89   0.529E-16
   1   3  90   0.537E-15
   1   3  91   0.943E-14
   1   3  92   0.736E-08
   1   3  93   0.178E-13
   1   3  94   0.986E-13
   1   3  95   0.643E-08
   1   3  96   0.764E-11
   1   3  97   0.220E-10
   1   3  98   0.273E-09
   1   3  99   0.929E-10
   1   3 100   0.428E-08
   1   3 101   0.308E-08
   1   3 102   0.409E-08
   1   3 103   0.876E-09
   1   3 104   0.170E-09
   1   3 105   0.885E-22
   1   3 106   0.406E-10
   1   3 107   0.244E-09
   1   3 108   0.101E-08
   1   3 109   0.359E-09
   1   3 110   0.284E-12
   1   4  70   0.252E-37
   1   4  71   0.369E-37
   1   4  72   0.201E-35
   1   4  73   0.276E-35
   1   4  74   0.477E-33
   1   4  75   0.986E-33
   1   4  76   0.482E-30
   1   4  77   0.234E-29
   1   4  78   0.188E-28
   1   4  79   0.193E-26
   1   4  80   0.142E-24
   1   4  81   0.629E-25
   1   4  82   0.850E-25
   1   4  83   0.493E-18
   1   4  84   0.344E-20
   1   4  85   0.480E-17
   1   4  86   0.333E-16
   1   4  87   0.144E-15
   1   4  88   0.386E-17
   1   4  90   0.489E-15
   1   4  91   0.472E-14
   1   4  92   0.231E-12
   1   4  93   0.919E-13
   1   4  94   0.744E-10
   1   4  95   0.206E-11
   1   4  96   0.830E-10
   1   4  97   0.172E-10
   1   4  98   0.120E-09
   1   4  99   0.865E-11
   1   4 100   0.446E-08
   1   4 101   0.503E-08
   1   4 102   0.252E-08
   1   4 103   0.651E-09
   1   4 104   0.197E-08
   1   4 105   0.190E-08
   1   4 106   0.849E-09
   1   4 107   0.113E-10
   1   4 108   0.411E-09
   1   4 109   0.358E-13
   1   4 110   0.203E-09
   1   4 111   0.135E-09
   1   5  72   0.402E-36
   1   5  73   0.285E-36
   1   5  74   0.859E-36
   1   5  75   0.127E-32
   1   5  76   0.499E-32
   1   5  77   0.143E-27
   1   5  78   0.611E-24
   1   5  79   0.479E-28
   1   5  80   0.107E-21
   1   5  81   0.216E-21
