 #aa  mm  Ext Proba
   1   1  66   0.647E-37
   1   1  67   0.103E-36
   1   1  68   0.110E-33
   1   1  69   0.309E-36
   1   1  70   0.171E-35
   1   1  71   0.381E-36
   1   1  72   0.130E-31
   1   1  73   0.719E-32
   1   1  74   0.541E-30
   1   1  75   0.769E-29
   1   1  76   0.456E-29
   1   1  77   0.124E-27
   1   1  78   0.143E-25
   1   1  79   0.106E-26
   1   1  80   0.136E-25
   1   1  81   0.155E-24
   1   1  82   0.853E-24
   1   1  83   0.287E-23
   1   1  84   0.759E-24
   1   1  85   0.209E-22
   1   1  86   0.275E-22
   1   1  87   0.245E-20
   1   1  89   0.239E-19
   1   1  90   0.237E-20
   1   1  91   0.267E-19
   1   1  92   0.903E-17
   1   1  93   0.178E-15
   1   1  94   0.416E-17
   1   1  95   0.133E-13
   1   1  96   0.560E-12
   1   1  97   0.149E-12
   1   1  99   0.190E-12
   1   1 100   0.208E-11
   1   1 101   0.122E-11
   1   1 102   0.202E-10
   1   1 103   0.215E-10
   1   1 104   0.518E-11
   1   1 105   0.221E-11
   1   1 106   0.638E-10
   1   1 107   0.458E-10
   1   1 108   0.760E-10
   1   1 109   0.457E-10
   1   1 110   0.656E-10
   1   1 111   0.134E-15
   1   2  65   0.343E-36
   1   2  66   0.849E-36
   1   2  67   0.400E-36
   1   2  68   0.125E-33
   1   2  69   0.195E-33
   1   2  70   0.128E-35
   1   2  71   0.163E-33
   1   2  72   0.348E-32
   1   2  73   0.185E-30
   1   2  74   0.110E-31
   1   2  75   0.173E-28
   1   2  76   0.663E-29
   1   2  77   0.862E-28
   1   2  78   0.108E-27
   1   2  79   0.138E-26
   1   2  80   0.878E-26
   1   2  81   0.296E-25
   1   2  82   0.322E-23
   1   2  83   0.130E-22
   1   2  84   0.141E-21
   1   2  85   0.382E-19
   1   2  86   0.161E-18
   1   2  87   0.147E-19
   1   2  89   0.339E-20
   1   2  90   0.220E-15
   1   2  91   0.453E-14
   1   2  92   0.264E-16
   1   2  93   0.221E-14
   1   2  94   0.310E-15
   1   2  95   0.156E-15
   1   2  96   0.483E-13
   1   2  97   0.798E-13
   1   2  98   0.141E-12
   1   2  99   0.921E-12
   1   2 100   0.209E-13
   1   2 101   0.979E-12
   1   2 102   0.171E-11
   1   2 103   0.114E-10
   1   2 104   0.323E-11
   1   2 105   0.172E-10
   1   2 106   0.248E-10
   1   2 107   0.824E-10
   1   2 108   0.254E-10
   1   2 109   0.550E-10
   1   2 110   0.972E-11
   1   2 111   0.123E-10
   1   3  63   0.253E-37
   1   3  64   0.475E-37
   1   3  65   0.338E-36
   1   3  66   0.436E-35
   1   3  67   0.265E-35
   1   3  68   0.818E-34
   1   3  69   0.522E-34
   1   3  70   0.144E-33
   1   3  71   0.244E-31
   1   3  72   0.412E-32
   1   3  73   0.294E-32
   1   3  74   0.177E-29
   1   3  75   0.103E-29
   1   3  76   0.936E-29
   1   3  77   0.305E-28
   1   3  78   0.161E-26
   1   3  79   0.111E-25
   1   3  80   0.168E-24
   1   3  81   0.120E-24
   1   3  82   0.152E-24
   1   3  83   0.615E-23
   1   3  84   0.219E-22
   1   3  85   0.856E-20
   1   3  86   0.135E-21
   1   3  87   0.101E-17
   1   3  88   0.691E-20
   1   3  89   0.115E-19
   1   3  90   0.275E-19
   1   3  91   0.139E-18
   1   3  92   0.131E-16
   1   3  93   0.167E-14
   1   3  94   0.966E-13
   1   3  95   0.303E-13
   1   3  96   0.275E-14
   1   3  97   0.822E-14
   1   3  98   0.946E-13
   1   3  99   0.144E-11
   1   3 100   0.258E-12
   1   3 101   0.447E-11
   1   3 102   0.276E-11
   1   3 103   0.156E-10
   1   3 104   0.304E-10
   1   3 105   0.131E-10
   1   3 106   0.424E-11
   1   3 107   0.453E-10
   1   3 108   0.551E-10
   1   3 109   0.762E-10
   1   3 110   0.683E-10
   1   3 111   0.341E-11
   1   4  59   0.152E-36
   1   4  64   0.297E-36
   1   4  65   0.957E-35
   1   4  66   0.704E-37
   1   4  67   0.254E-35
   1   4  68   0.126E-34
   1   4  69   0.856E-32
   1   4  70   0.442E-33
   1   4  71   0.941E-36
   1   4  72   0.112E-30
   1   4  73   0.128E-30
   1   4  74   0.200E-31
   1   4  75   0.595E-28
   1   4  76   0.347E-28
   1   4  77   0.442E-27
   1   4  78   0.147E-26
   1   4  79   0.249E-26
   1   4  80   0.154E-24
   1   4  81   0.216E-24
   1   4  82   0.638E-23
   1   4  83   0.388E-23
   1   4  84   0.227E-22
   1   4  85   0.211E-21
   1   4  86   0.609E-21
   1   4  87   0.658E-20
   1   4  88   0.237E-19
   1   4  89   0.101E-18
   1   4  90   0.669E-18
   1   4  91   0.131E-16
   1   4  92   0.787E-17
   1   4  93   0.286E-15
   1   4  94   0.136E-12
   1   4  95   0.350E-16
   1   4  96   0.319E-12
   1   4  97   0.998E-12
   1   4  98   0.123E-11
   1   4  99   0.113E-12
   1   4 101   0.556E-11
   1   4 102   0.141E-10
   1   4 103   0.968E-11
   1   4 104   0.792E-11
   1   4 105   0.949E-10
   1   4 106   0.564E-10
   1   4 107   0.501E-10
   1   4 108   0.699E-10
   1   4 109   0.324E-10
   1   4 110   0.129E-10
   1   5  55   0.973E-37
   1   5  62   0.451E-37
   1   5  63   0.172E-36
   1   5  64   0.325E-35
   1   5  65   0.121E-35
   1   5  66   0.186E-34
   1   5  67   0.315E-33
   1   5  68   0.297E-34
   1   5  69   0.281E-33
   1   5  70   0.636E-32
   1   5  71   0.143E-32
   1   5  72   0.305E-31
   1   5  73   0.342E-31
   1   5  74   0.614E-29
   1   5  75   0.471E-29
   1   5  76   0.275E-28
   1   5  77   0.222E-27
   1   5  78   0.751E-26
   1   5  79   0.164E-25
   1   5  80   0.130E-24
   1   5  81   0.114E-24
   1   5  82   0.234E-24
   1   5  83   0.182E-23
   1   5  84   0.443E-24
   1   5  85   0.179E-21
   1   5  86   0.370E-21
   1   5  87   0.577E-21
   1   5  88   0.807E-16
   1   5  89   0.441E-18
   1   5  90   0.818E-19
   1   5  91   0.136E-14
   1   5  92   0.146E-14
   1   5  93   0.808E-14
   1   5  94   0.317E-16
   1   5  95   0.916E-13
   1   5  97   0.408E-14
   1   5  98   0.665E-12
   1   5  99   0.574E-12
   1   5 100   0.326E-12
   1   5 101   0.557E-11
   1   5 102   0.158E-10
   1   5 105   0.105E-10
   1   5 106   0.131E-10
   1   5 107   0.620E-12
   1   5 109   0.279E-10
   1   5 110   0.335E-10
   1   5 111   0.216E-10
   1   6  56   0.109E-36
   1   6  57   0.279E-37
   1   6  60   0.641E-36
   1   6  61   0.288E-35
   1   6  62   0.130E-36
   1   6  63   0.110E-36
   1   6  64   0.202E-36
   1   6  65   0.340E-35
   1   6  66   0.116E-33
   1   6  67   0.281E-33
   1   6  68   0.847E-32
   1   6  69   0.239E-32
   1   6  70   0.160E-33
   1   6  71   0.690E-31
   1   6  72   0.959E-31
   1   6  73   0.279E-29
   1   6  74   0.520E-31
   1   6  75   0.437E-28
   1   6  76   0.189E-27
   1   6  77   0.115E-27
   1   6  78   0.198E-28
   1   6  79   0.161E-26
   1   6  80   0.151E-26
   1   6  81   0.217E-25
   1   6  82   0.147E-23
   1   6  83   0.373E-22
   1   6  84   0.333E-21
   1   6  85   0.178E-20
   1   6  86   0.196E-20
   1   6  87   0.346E-20
   1   6  88   0.409E-18
   1   6  89   0.101E-18
   1   6  90   0.783E-18
   1   6  91   0.117E-15
   1   6  92   0.134E-14
   1   6  93   0.205E-15
   1   6  94   0.408E-15
   1   6  95   0.230E-14
   1   6  96   0.116E-13
   1   6  97   0.224E-13
   1   6  98   0.554E-14
   1   6  99   0.510E-13
   1   6 100   0.781E-13
   1   6 101   0.183E-11
   1   6 102   0.202E-12
   1   6 103   0.577E-13
   1   6 104   0.935E-12
   1   6 105   0.126E-09
   1   6 106   0.392E-10
   1   6 107   0.143E-09
   1   6 108   0.168E-09
   1   6 109   0.799E-10
   1   6 110   0.106E-09
   1   6 111   0.104E-10
   1   7  53   0.485E-34
   1   7  56   0.560E-35
   1   7  58   0.388E-35
   1   7  61   0.276E-37
   1   7  62   0.760E-37
   1   7  64   0.164E-35
   1   7  65   0.530E-34
   1   7  66   0.479E-34
   1   7  67   0.597E-33
   1   7  68   0.725E-32
   1   7  69   0.151E-31
   1   7  70   0.118E-30
   1   7  71   0.328E-30
   1   7  72   0.893E-30
   1   7  73   0.222E-29
   1   7  74   0.109E-29
   1   7  75   0.159E-27
   1   7  76   0.162E-25
   1   7  77   0.277E-27
   1   7  78   0.938E-26
   1   7  79   0.311E-25
   1   7  80   0.249E-24
   1   7  81   0.744E-25
   1   7  82   0.357E-23
   1   7  83   0.221E-22
   1   7  84   0.294E-21
   1   7  85   0.172E-21
   1   7  86   0.444E-21
   1   7  87   0.152E-15
   1   7  88   0.272E-20
   1   7  89   0.373E-19
   1   7  90   0.568E-18
   1   7  91   0.450E-18
   1   7  92   0.298E-17
   1   7  93   0.338E-16
   1   7  94   0.470E-14
   1   7  95   0.190E-13
   1   7  96   0.412E-14
   1   7  97   0.779E-14
   1   7  98   0.234E-12
   1   7  99   0.220E-11
   1   7 100   0.949E-12
   1   7 101   0.161E-11
   1   7 102   0.361E-11
   1   7 103   0.493E-13
   1   7 104   0.252E-10
   1   7 105   0.803E-10
   1   7 106   0.136E-09
   1   7 107   0.927E-10
   1   7 108   0.708E-10
   1   7 109   0.794E-10
   1   7 110   0.340E-10
   1   8  49   0.163E-36
   1   8  54   0.230E-37
   1   8  57   0.261E-36
   1   8  58   0.976E-37
   1   8  59   0.194E-36
   1   8  60   0.677E-37
   1   8  61   0.854E-35
   1   8  62   0.320E-34
   1   8  63   0.691E-32
   1   8  64   0.355E-34
   1   8  65   0.173E-33
   1   8  66   0.115E-29
   1   8  67   0.292E-32
   1   8  68   0.551E-29
   1   8  69   0.915E-30
   1   8  70   0.729E-30
   1   8  71   0.203E-31
   1   8  72   0.751E-30
   1   8  73   0.654E-27
   1   8  74   0.196E-28
   1   8  75   0.153E-27
   1   8  76   0.261E-27
   1   8  77   0.176E-26
   1   8  78   0.533E-26
   1   8  79   0.522E-25
   1   8  80   0.282E-24
   1   8  81   0.984E-24
   1   8  82   0.123E-23
   1   8  83   0.105E-22
   1   8  84   0.584E-21
   1   8  85   0.420E-21
   1   8  86   0.665E-19
   1   8  87   0.339E-19
   1   8  88   0.209E-17
   1   8  89   0.199E-17
   1   8  90   0.407E-17
   1   8  91   0.585E-17
   1   8  92   0.127E-16
   1   8  93   0.188E-15
   1   8  94   0.332E-16
   1   8  95   0.247E-14
   1   8  96   0.634E-13
   1   8  97   0.699E-14
   1   8  98   0.125E-10
   1   8  99   0.161E-15
   1   8 100   0.240E-11
   1   8 101   0.159E-10
   1   8 102   0.406E-11
   1   8 103   0.427E-12
   1   8 104   0.118E-10
   1   8 105   0.292E-10
   1   8 106   0.717E-10
   1   8 107   0.641E-10
   1   8 108   0.481E-10
   1   8 109   0.424E-10
   1   8 110   0.145E-10
   1   8 111   0.388E-10
   1   9  40   0.789E-33
   1   9  52   0.808E-34
   1   9  53   0.101E-33
   1   9  54   0.379E-36
   1   9  57   0.202E-34
   1   9  58   0.133E-35
   1   9  59   0.106E-34
   1   9  60   0.146E-35
   1   9  61   0.367E-37
   1   9  62   0.269E-30
   1   9  63   0.258E-31
   1   9  64   0.906E-33
   1   9  65   0.247E-32
   1   9  66   0.168E-29
   1   9  67   0.273E-32
   1   9  68   0.381E-31
   1   9  69   0.783E-31
   1   9  70   0.123E-31
   1   9  71   0.131E-26
   1   9  72   0.527E-30
   1   9  73   0.781E-30
   1   9  74   0.612E-27
   1   9  75   0.122E-27
   1   9  76   0.143E-27
   1   9  77   0.627E-26
   1   9  78   0.542E-26
   1   9  79   0.341E-24
   1   9  80   0.689E-25
   1   9  81   0.186E-23
   1   9  82   0.927E-23
   1   9  83   0.115E-21
   1   9  84   0.146E-21
   1   9  85   0.526E-20
   1   9  86   0.103E-19
   1   9  87   0.395E-20
   1   9  88   0.316E-18
   1   9  89   0.319E-17
   1   9  90   0.220E-16
   1   9  91   0.203E-16
   1   9  92   0.323E-16
   1   9  93   0.188E-16
   1   9  94   0.104E-15
   1   9  95   0.641E-15
   1   9  96   0.876E-14
   1   9  97   0.474E-15
   1   9  98   0.351E-14
   1   9  99   0.135E-12
   1   9 100   0.402E-11
   1   9 101   0.299E-11
   1   9 102   0.569E-12
   1   9 103   0.102E-09
   1   9 104   0.156E-11
   1   9 105   0.137E-09
   1   9 106   0.223E-09
   1   9 107   0.112E-09
   1   9 108   0.108E-09
   1   9 109   0.230E-10
   1   9 110   0.800E-10
   1   9 111   0.325E-10
   1  10  34   0.509E-37
   1  10  35   0.197E-37
   1  10  37   0.166E-35
   1  10  47   0.169E-34
   1  10  49   0.532E-36
   1  10  50   0.984E-36
   1  10  51   0.154E-33
   1  10  52   0.366E-37
   1  10  53   0.310E-32
   1  10  54   0.859E-32
   1  10  55   0.414E-34
   1  10  56   0.216E-34
   1  10  57   0.136E-32
   1  10  58   0.117E-33
   1  10  59   0.798E-35
   1  10  60   0.272E-36
   1  10  61   0.326E-32
   1  10  62   0.430E-33
   1  10  63   0.123E-32
   1  10  64   0.629E-31
   1  10  65   0.395E-31
   1  10  66   0.667E-32
   1  10  67   0.350E-31
   1  10  68   0.560E-29
   1  10  69   0.104E-29
   1  10  70   0.976E-30
   1  10  71   0.155E-27
   1  10  72   0.736E-29
   1  10  73   0.170E-27
   1  10  74   0.127E-27
   1  10  75   0.537E-27
   1  10  76   0.200E-25
   1  10  77   0.565E-26
   1  10  78   0.192E-24
   1  10  79   0.384E-24
