 #aa  mm  Ext Proba
   1  11  93   0.344E-13
   1  11  94   0.820E-12
   1  11  95   0.529E-14
   1  11  96   0.194E-12
   1  11  97   0.598E-12
   1  11  98   0.151E-11
   1  11  99   0.555E-12
   1  11 100   0.309E-12
   1  11 101   0.663E-13
   1  11 102   0.583E-14
   1  11 103   0.699E-14
   1  11 104   0.156E-14
   1  11 105   0.928E-17
   1  11 106   0.122E-15
   1  11 107   0.512E-21
   1  11 108   0.705E-19
   1  11 109   0.516E-24
   1  11 110   0.843E-28
   1  11 111   0.107E-25
   1  12  84   0.138E-31
   1  12  86   0.526E-29
   1  12  88   0.158E-37
   1  12  89   0.155E-22
   1  12  90   0.121E-20
   1  12  91   0.684E-20
   1  12  92   0.419E-20
   1  12  93   0.245E-13
   1  12  94   0.159E-12
   1  12  95   0.403E-16
   1  12  96   0.263E-11
   1  12  97   0.234E-12
   1  12  98   0.245E-15
   1  12  99   0.809E-13
   1  12 100   0.332E-13
   1  12 101   0.341E-13
   1  12 102   0.304E-14
   1  12 103   0.331E-14
   1  12 104   0.392E-14
   1  12 105   0.180E-15
   1  12 106   0.131E-18
   1  12 107   0.239E-15
   1  12 108   0.502E-20
   1  12 109   0.250E-18
   1  12 110   0.173E-26
   1  13  84   0.656E-29
   1  13  87   0.722E-27
   1  13  88   0.298E-35
   1  13  89   0.344E-15
   1  13  90   0.332E-23
   1  13  91   0.393E-22
   1  13  92   0.155E-17
   1  13  93   0.534E-11
   1  13  94   0.239E-20
   1  13  95   0.124E-11
   1  13  96   0.227E-11
   1  13  97   0.450E-12
   1  13  98   0.271E-14
   1  13  99   0.763E-12
   1  13 100   0.106E-12
   1  13 101   0.252E-13
   1  13 102   0.152E-13
   1  13 103   0.160E-13
   1  13 104   0.134E-14
   1  13 105   0.599E-15
   1  13 106   0.268E-15
   1  13 107   0.251E-15
   1  13 108   0.607E-24
   1  13 109   0.485E-19
   1  13 110   0.891E-23
   1  13 111   0.367E-20
   1  14  85   0.205E-34
   1  14  86   0.211E-33
   1  14  87   0.371E-27
   1  14  88   0.195E-28
   1  14  89   0.179E-27
   1  14  90   0.781E-21
   1  14  91   0.368E-21
   1  14  92   0.558E-20
   1  14  93   0.486E-15
   1  14  94   0.119E-11
   1  14  95   0.752E-16
   1  14  96   0.111E-10
   1  14  97   0.608E-12
   1  14  98   0.413E-12
   1  14  99   0.395E-12
   1  14 100   0.107E-12
   1  14 101   0.603E-14
   1  14 102   0.241E-13
   1  14 103   0.264E-15
   1  14 104   0.198E-14
   1  14 105   0.464E-15
   1  14 106   0.247E-17
   1  14 107   0.460E-18
   1  14 108   0.220E-16
   1  14 109   0.167E-22
   1  14 110   0.430E-23
   1  14 111   0.497E-20
   1  15  87   0.865E-23
   1  15  88   0.382E-22
   1  15  89   0.347E-24
   1  15  90   0.104E-20
   1  15  91   0.305E-17
   1  15  92   0.985E-19
   1  15  93   0.614E-19
   1  15  94   0.457E-11
   1  15  95   0.124E-13
   1  15  96   0.341E-13
   1  15  97   0.872E-12
   1  15  98   0.726E-12
   1  15  99   0.842E-12
   1  15 100   0.786E-13
   1  15 101   0.442E-13
   1  15 102   0.324E-13
   1  15 103   0.151E-13
   1  15 104   0.308E-14
   1  15 105   0.253E-15
   1  15 106   0.608E-16
   1  15 107   0.116E-16
   1  15 108   0.171E-16
   1  15 109   0.216E-18
   1  15 110   0.434E-21
   1  15 111   0.543E-18
   1  16  85   0.632E-19
   1  16  86   0.124E-35
   1  16  87   0.835E-25
   1  16  88   0.113E-29
   1  16  89   0.197E-15
   1  16  90   0.152E-27
   1  16  91   0.416E-17
   1  16  92   0.252E-14
   1  16  93   0.468E-14
   1  16  94   0.612E-13
   1  16  95   0.118E-12
   1  16  96   0.160E-11
   1  16  97   0.450E-12
   1  16  98   0.755E-12
   1  16  99   0.581E-12
   1  16 100   0.442E-12
   1  16 101   0.174E-12
   1  16 102   0.337E-13
   1  16 103   0.139E-13
   1  16 104   0.448E-14
   1  16 105   0.365E-15
   1  16 106   0.559E-15
   1  16 107   0.684E-16
   1  16 108   0.129E-19
   1  16 109   0.233E-16
   1  16 110   0.248E-22
   1  16 111   0.189E-27
   1  17  85   0.208E-37
   1  17  86   0.190E-27
   1  17  87   0.715E-28
   1  17  88   0.343E-26
   1  17  89   0.161E-24
   1  17  90   0.139E-21
   1  17  91   0.841E-19
   1  17  92   0.518E-15
   1  17  93   0.433E-16
   1  17  94   0.585E-15
   1  17  95   0.223E-14
   1  17  96   0.276E-13
   1  17  97   0.330E-12
   1  17  98   0.169E-12
   1  17  99   0.170E-14
   1  17 100   0.774E-13
   1  17 101   0.680E-13
   1  17 102   0.247E-13
   1  17 103   0.157E-13
   1  17 104   0.818E-14
   1  17 105   0.215E-14
   1  17 106   0.480E-16
   1  17 107   0.191E-15
   1  17 108   0.430E-16
   1  17 109   0.587E-17
   1  17 110   0.124E-23
   1  17 111   0.197E-29
   1  18  86   0.388E-35
   1  18  87   0.601E-26
   1  18  88   0.388E-24
   1  18  89   0.173E-29
   1  18  90   0.239E-26
   1  18  91   0.150E-26
