 #aa  mm  Ext Proba
   1   1  57   0.916E-36
   1   1  58   0.126E-34
   1   1  59   0.264E-32
   1   1  60   0.920E-31
   1   1  61   0.350E-31
   1   1  62   0.118E-30
   1   1  63   0.259E-28
   1   1  64   0.476E-26
   1   1  65   0.275E-26
   1   1  66   0.352E-26
   1   1  67   0.126E-24
   1   1  68   0.116E-23
   1   1  69   0.909E-23
   1   1  70   0.165E-23
   1   1  71   0.152E-21
   1   1  72   0.241E-21
   1   1  73   0.451E-21
   1   1  74   0.971E-19
   1   1  75   0.195E-17
   1   1  76   0.124E-18
   1   1  77   0.267E-17
   1   1  78   0.428E-14
   1   1  79   0.156E-12
   1   1  80   0.164E-14
   1   1  81   0.626E-12
   1   1  82   0.193E-10
   1   1  83   0.103E-13
   1   1  84   0.121E-08
   1   1  86   0.308E-09
   1   1  88   0.438E-08
   1   1  90   0.165E-07
   1   1  91   0.149E-07
   1   1  93   0.148E-08
   1   1  94   0.580E-08
   1   1  95   0.553E-08
   1   1  96   0.297E-08
   1   1  97   0.117E-09
   1   1  98   0.262E-09
   1   1  99   0.955E-10
   1   1 100   0.134E-09
   1   1 101   0.360E-10
   1   1 102   0.331E-13
   1   1 104   0.506E-25
   1   1 105   0.535E-19
   1   1 106   0.145E-16
   1   1 107   0.709E-19
   1   1 109   0.123E-17
   1   2  54   0.130E-37
   1   2  57   0.104E-35
   1   2  58   0.345E-33
   1   2  59   0.550E-34
   1   2  60   0.758E-33
   1   2  61   0.334E-30
   1   2  62   0.353E-30
   1   2  63   0.304E-29
   1   2  64   0.782E-28
   1   2  65   0.359E-27
   1   2  66   0.182E-26
   1   2  67   0.339E-25
   1   2  68   0.824E-23
   1   2  69   0.670E-22
   1   2  70   0.204E-20
   1   2  71   0.293E-17
   1   2  73   0.214E-16
   1   2  75   0.155E-18
   1   2  76   0.107E-17
   1   2  77   0.172E-12
   1   2  78   0.591E-11
   1   2  79   0.174E-13
   1   2  80   0.280E-11
   1   2  81   0.400E-12
   1   2  82   0.213E-11
   1   2  83   0.787E-10
   1   2  84   0.136E-09
   1   2  85   0.234E-09
   1   2  86   0.144E-08
   1   2  87   0.331E-10
   1   2  88   0.129E-08
   1   2  89   0.188E-08
   1   2  91   0.910E-08
   1   2  92   0.516E-08
   1   2  93   0.111E-07
   1   2  94   0.230E-08
   1   2  95   0.963E-08
   1   2  96   0.131E-08
   1   2  97   0.175E-08
   1   2  98   0.181E-09
   1   2  99   0.330E-09
   1   2 100   0.883E-12
   1   2 103   0.742E-11
   1   2 104   0.176E-10
   1   2 106   0.966E-12
   1   2 107   0.209E-28
   1   2 108   0.143E-10
   1   2 109   0.381E-13
   1   2 110   0.120E-12
   1   2 111   0.169E-24
   1   3  56   0.180E-36
   1   3  57   0.220E-34
   1   3  59   0.609E-32
   1   3  60   0.681E-32
   1   3  61   0.159E-31
   1   3  62   0.682E-30
   1   3  63   0.216E-27
   1   3  64   0.652E-27
   1   3  65   0.212E-26
   1   3  66   0.164E-24
   1   3  67   0.837E-25
   1   3  68   0.175E-24
   1   3  69   0.349E-22
   1   3  70   0.125E-21
   1   3  71   0.522E-18
   1   3  72   0.176E-20
   1   3  73   0.188E-15
   1   3  74   0.155E-18
   1   3  75   0.486E-18
   1   3  76   0.281E-17
   1   3  77   0.176E-16
   1   3  78   0.555E-17
   1   3  79   0.549E-13
   1   3  80   0.182E-11
   1   3  81   0.166E-09
   1   3  82   0.480E-10
   1   3  83   0.366E-11
   1   3  84   0.202E-10
   1   3  85   0.147E-09
   1   3  86   0.164E-08
   1   3  87   0.873E-09
   1   3  88   0.202E-08
   1   3  89   0.262E-08
   1   3  90   0.104E-07
   1   3  91   0.337E-08
   1   3  92   0.144E-08
   1   3  93   0.545E-08
   1   3  94   0.191E-08
   1   3  95   0.525E-08
   1   3  96   0.841E-08
   1   3  97   0.833E-09
   1   3  98   0.154E-08
   1   3  99   0.171E-09
   1   3 100   0.396E-09
   1   3 101   0.656E-11
   1   3 102   0.605E-12
   1   3 103   0.264E-14
   1   3 104   0.771E-11
   1   3 105   0.689E-11
   1   3 107   0.118E-25
   1   3 108   0.144E-21
   1   3 109   0.890E-17
   1   3 110   0.236E-19
   1   4  54   0.327E-35
   1   4  55   0.611E-37
   1   4  57   0.183E-33
   1   4  58   0.174E-34
   1   4  59   0.264E-33
   1   4  60   0.560E-33
   1   4  61   0.189E-29
   1   4  62   0.484E-29
   1   4  63   0.153E-27
   1   4  64   0.366E-28
   1   4  65   0.617E-26
   1   4  66   0.154E-24
   1   4  67   0.282E-24
   1   4  68   0.188E-22
   1   4  69   0.113E-22
   1   4  70   0.153E-21
   1   4  71   0.236E-20
   1   4  72   0.127E-19
   1   4  73   0.309E-18
   1   4  74   0.116E-17
   1   4  75   0.889E-17
   1   4  76   0.154E-15
   1   4  77   0.596E-14
   1   4  78   0.293E-14
   1   4  79   0.236E-14
   1   4  80   0.228E-11
   1   4  81   0.236E-09
   1   4  82   0.245E-13
   1   4  83   0.582E-09
   1   4  84   0.165E-08
   1   4  85   0.173E-08
   1   4  86   0.309E-09
