 #aa  mm  Ext Proba
   1   1  89   0.713E-32
   1   1  90   0.317E-32
   1   1  92   0.140E-24
   1   1  93   0.157E-23
   1   1  94   0.111E-22
   1   1  95   0.386E-24
   1   1  98   0.699E-16
   1   1  99   0.372E-15
   1   1 100   0.608E-15
   1   1 101   0.169E-13
   1   1 103   0.237E-12
   1   1 104   0.500E-12
   1   1 105   0.279E-12
   1   1 106   0.164E-13
   1   1 107   0.352E-13
   1   1 108   0.532E-13
   1   1 110   0.210E-15
   1   2  88   0.106E-35
   1   2  89   0.142E-37
   1   2  90   0.276E-32
   1   2  91   0.658E-29
   1   2  93   0.566E-26
   1   2  94   0.536E-22
   1   2  95   0.299E-22
   1   2  96   0.442E-21
   1   2  97   0.243E-19
   1   2  98   0.113E-18
   1   2  99   0.267E-15
   1   2 100   0.423E-14
   1   2 101   0.118E-16
   1   2 102   0.642E-15
   1   2 103   0.455E-13
   1   2 104   0.305E-14
   1   2 105   0.466E-12
   1   2 108   0.103E-19
   1   3  88   0.105E-34
   1   3  90   0.150E-31
   1   3  91   0.849E-27
   1   3  92   0.224E-27
   1   3  93   0.373E-22
   1   3  94   0.457E-24
   1   3  96   0.231E-21
   1   3  97   0.413E-22
   1   3  99   0.731E-16
   1   3 100   0.126E-09
   1   3 101   0.299E-14
   1   3 102   0.395E-14
   1   3 103   0.195E-12
   1   3 104   0.201E-12
   1   3 105   0.788E-14
   1   3 106   0.291E-13
   1   3 108   0.925E-13
   1   3 109   0.997E-15
   1   3 110   0.220E-14
   1   3 111   0.829E-18
   1   4  87   0.251E-35
   1   4  89   0.147E-37
   1   4  90   0.152E-31
   1   4  91   0.153E-27
   1   4  93   0.132E-21
   1   4  95   0.823E-22
   1   4  96   0.127E-17
   1   4  97   0.233E-17
   1   4  98   0.300E-13
   1   4  99   0.338E-15
   1   4 100   0.514E-13
   1   4 103   0.119E-12
   1   4 104   0.283E-15
   1   4 106   0.102E-13
   1   4 107   0.335E-13
   1   4 108   0.120E-13
   1   4 109   0.183E-16
   1   4 110   0.276E-15
   1   4 111   0.312E-15
   1   5  87   0.607E-36
   1   5  88   0.737E-36
   1   5  91   0.485E-26
   1   5  92   0.153E-24
   1   5  94   0.739E-28
   1   5  95   0.740E-25
   1   5  96   0.307E-23
   1   5  97   0.478E-20
   1   5 101   0.807E-20
   1   5 103   0.496E-13
   1   5 105   0.965E-14
   1   5 106   0.806E-12
   1   5 107   0.173E-12
   1   5 108   0.176E-13
   1   5 109   0.320E-14
   1   5 110   0.180E-14
   1   6  89   0.184E-34
   1   6  90   0.209E-31
   1   6  91   0.109E-34
   1   6  93   0.735E-31
   1   6  94   0.709E-29
   1   6  96   0.126E-20
   1   6  98   0.144E-13
   1   6  99   0.130E-11
   1   6 100   0.734E-14
   1   6 101   0.327E-13
   1   6 102   0.333E-12
   1   6 103   0.443E-11
   1   6 104   0.977E-12
   1   6 105   0.135E-11
   1   6 106   0.104E-12
   1   6 107   0.274E-12
   1   6 108   0.352E-13
   1   6 109   0.184E-13
   1   6 110   0.215E-14
   1   6 111   0.236E-15
   1   7  89   0.100E-30
   1   7  90   0.370E-34
   1   7  91   0.408E-29
   1   7  92   0.327E-28
   1   7  93   0.197E-31
   1   7  94   0.589E-24
   1   7  95   0.190E-20
   1   7  97   0.111E-21
   1   7  98   0.716E-16
   1   7  99   0.702E-12
   1   7 100   0.354E-16
   1   7 101   0.303E-11
   1   7 103   0.202E-12
   1   7 104   0.288E-11
   1   7 105   0.420E-13
   1   7 106   0.268E-12
   1   7 107   0.190E-13
   1   7 108   0.270E-13
   1   7 109   0.250E-13
   1   7 110   0.118E-15
