,ID,Age,Mass,Ext,Z,FUV,NUV,U,B,V,R,I,J,H,K,F275W,F336W,F475W,F814W,F110W,F160W,u_CFHT,g_CFHT,r_CFHT,i_CFHT,z_CFHT,u_SDSS,g_SDSS,r_SDSS,i_SDSS,z_SDSS,J_2MASS,H_2MASS,Ks_2MASS,a_BATC,b_BATC,c_BATC,d_BATC,e_BATC,f_BATC,g_BATC,h_BATC,i_BATC,j_BATC,k_BATC,m_BATC,n_BATC,o_BATC,p_BATC,t_BATC,IRAC36,IRAC45,IRAC58,IRAC80,mip24,mip70,mip160,Mass_present
10,11.0,8.0,4.002689594251408,0.0,0.019,-8.000155449807025,-7.7240918693232405,-7.262167652695952,-6.951606439032759,-7.098285427547239,-7.300377043111711,-7.58936661305172,-8.231878723071478,-8.852931430163101,-8.968883251026915,-7.627878835541241,-7.4959307752710185,-7.017003918383953,-7.610102508368587,-8.111077887565896,-8.739053817172609,-6.763677158166884,-7.125209234892347,-7.123143980640053,-7.166406549264289,-7.22144984633073,-6.416611755290721,-7.088247635971358,-7.09260011547424,-7.132607131872239,-7.199979966070233,-8.284210062647068,-8.882959030834046,-9.028387082617016,-6.317751437153669,-6.930793529623285,-7.100510053982253,-7.1486496522389,-7.119035243366402,-7.121208515187475,-7.133807874621683,-7.127679516621727,-7.1207598059600175,-7.152063837791349,-7.205105639454452,-7.17004798690089,-7.1450065562328104,-7.275922966408652,-7.302756628597116,-7.08901878687474,-9.097382136279936,-8.968571861041895,-9.029877602612268,-9.122830102583139,-8.989939104674354,-9.039292647241847,-9.046451807497874,3.8663651748318095
11,12.0,8.0,3.9987061895617786,0.0,0.019,-7.9852860366095495,-7.712159189480115,-7.247781315380619,-6.944020695328539,-7.121694461459473,-7.360330111167434,-7.682289580946231,-8.36039610504219,-9.00274342574957,-9.119047495731742,-7.616078450900977,-7.480851030958963,-7.017381841242463,-7.700722938358995,-8.231468910926013,-8.885985623668859,-6.7501106888011115,-7.128417402276696,-7.176341911680387,-7.251780808104911,-7.322967443601773,-6.4014983678707305,-7.087186438045842,-7.143372740850207,-7.214353578288567,-7.301858008918829,-8.412822452144752,-9.032965697874975,-9.178696116904796,-6.302470631843572,-6.918296026326179,-7.087202758300963,-7.144135623243008,-7.123521087024914,-7.133279091769472,-7.171495770337593,-7.17628996576739,-7.189377205631741,-7.221873609896213,-7.284973230723571,-7.2617186156912075,-7.25137835547041,-7.370778908127055,-7.402660541881268,-7.158064976218869,-9.247932348054707,-9.11683248019129,-9.175151258753306,-9.261200109405815,-9.185765932634567,-9.22611039183462,-9.229107113361476,3.863048639033125
12,13.0,8.0,3.9957620496953763,0.0,0.019,-7.906117717720789,-7.6393056866566225,-7.208132591034348,-6.924563312728473,-7.104385440840664,-7.301452448068744,-7.519056335899361,-7.933254555896844,-8.361900478336405,-8.427684225739194,-7.547949500691978,-7.433697751486713,-7.003342903027861,-7.535953057175735,-7.848885496747244,-8.300328065843738,-6.716010245527123,-7.115005121290564,-7.138313050714881,-7.115553180663346,-7.101971493026883,-6.361692997328613,-7.073806632680509,-7.1083048532684,-7.0905916599908245,-7.073583077867108,-7.985321215186989,-8.389615929771772,-8.473567454921794,-6.255887268810514,-6.882370074182554,-7.065131690915361,-7.131442535637184,-7.1164246122780455,-7.1197663038520655,-7.15012782705259,-7.14762159986127,-7.12825397230871,-7.129449035706299,-7.127959524481024,-7.106064070190511,-7.073919561067525,-7.111985607933608,-7.1176241748603335,-7.099326850021493,-8.514994916583689,-8.438865161812348,-8.46565861160046,-8.51819597254012,-8.538308443271207,-8.559667373502663,-8.540843991779507,3.8662455068874424
13,14.0,8.0,4.004893929973909,0.0,0.019,-7.983641760715441,-7.705106122226998,-7.231667873283762,-6.926548892833689,-7.088128586516374,-7.28248555547866,-7.50299318726968,-7.94405377614418,-8.403018217762565,-8.471822466994583,-7.606664115453702,-7.468312181275614,-6.996745975848954,-7.519853642437688,-7.85360717681601,-8.333144309526267,-6.733410336477269,-7.106674382215149,-7.119169616582246,-7.09760325993813,-7.090088674134187,-6.386037483736393,-7.067671241688446,-7.0891840595496145,-7.072006250173038,-7.062071005857434,-7.996277398222449,-8.431032566338617,-8.51988465800036,-6.28994373968986,-6.900143875238687,-7.07054715227051,-7.127148373783991,-7.104468224188677,-7.104642301137516,-7.131574233234961,-7.128639724295953,-7.109142900866621,-7.108994893877133,-7.110926747859688,-7.086360722958669,-7.061992040389812,-7.099231139968909,-7.108346744546228,-7.079151026334383,-8.56447806562933,-8.481200074366914,-8.508707989038715,-8.568472312883035,-8.587286248824691,-8.609200724002692,-8.590912871095565,3.8696728572295567
14,15.0,8.0,4.000047018479966,0.0,0.019,-8.14286401918463,-7.862139026973996,-7.3848942988001784,-7.067186549873509,-7.223916693466804,-7.412978063451123,-7.625258791913334,-8.04561218594569,-8.484470462522069,-8.550029469735964,-7.763458491911319,-7.622559517233006,-7.135678039460133,-7.642370500724772,-7.959197312465428,-8.419548041747115,-6.881835002940683,-7.245056297915809,-7.25117027048797,-7.221928922514955,-7.208268950204163,-6.540477601730933,-7.206911568770834,-7.221618276147792,-7.197394500668203,-7.1799469906594595,-8.09773961235913,-8.51237568678438,-8.597147243559352,-6.444142864528754,-7.0479379559927,-7.2113827954972445,-7.265401301852544,-7.2438843197969085,-7.241834394896632,-7.265612560336592,-7.261277403841131,-7.23887328446727,-7.237226664385142,-7.235305836442366,-7.209376251247781,-7.18112574638011,-7.216524373939169,-7.222613212468028,-7.210605710416599,-8.639759663413928,-8.559571501278082,-8.586194387392341,-8.64429404681686,-8.660894723361466,-8.68071654588512,-8.663827883113388,3.8691682545273443
15,16.0,8.0,3.9938852614128697,0.0,0.019,-7.949782079889793,-7.675823632559364,-7.216703163135003,-6.9243417664538285,-7.116561717414928,-7.341039105891114,-7.598248435993849,-8.10642710593535,-8.621055409230827,-8.703140797197513,-7.57994879261148,-7.44926681809241,-7.0041376335744285,-7.613934767341065,-8.002811335979219,-8.537570451079269,-6.720950134710365,-7.116906211447489,-7.170646053025916,-7.184183376772114,-7.1997199143744774,-6.370587297613742,-7.073770510259042,-7.138785117523465,-7.154527319462641,-7.173277259605463,-8.158726151353154,-8.649756343518767,-8.753932607184376,-6.271036614775909,-6.88764684014742,-7.062552562069703,-7.129764265670423,-7.1170957352216355,-7.124622956652739,-7.170902071516395,-7.1759215891461,-7.173414539041603,-7.1798622991777306,-7.197674684793559,-7.181597697552764,-7.165576406141296,-7.213746817900298,-7.229890978473494,-7.143888100777077,-8.805438794637318,-8.708929735659508,-8.742903078394859,-8.804685092526015,-8.831712571095405,-8.853211709231328,-8.839396502678323,3.867959692472894
16,17.0,8.0,3.995987612481491,0.0,0.019,-8.19721966271924,-7.915446331604401,-7.404623442436156,-7.029686478519228,-7.074805491427107,-7.178842509909112,-7.303491632461027,-7.586249627031272,-7.941778889528575,-7.9916531982428305,-7.814065084879759,-7.650214764266355,-7.059338815835652,-7.323481143417569,-7.528160039062683,-7.89312422155299,-6.891400366555739,-7.158222163314237,-7.0341649021913275,-6.918204147361129,-6.856033224943162,-6.559827798661898,-7.134400464222609,-7.0098486116713286,-6.902852960891571,-6.8250164191503,-7.638128870478163,-7.968893856408613,-8.03678536210062,-6.4710637939532925,-7.064047280838036,-7.195182752035416,-7.204416517618309,-7.144624820674176,-7.116626796149714,-7.08252228104079,-7.05505584460565,-6.985861342572608,-6.968598850830943,-6.9344673848752505,-6.886435361307259,-6.840642847852205,-6.8563116925770995,-6.8468832081795625,-6.958586034879862,-8.069819106235956,-8.00067263440525,-8.021087454166304,-8.073312594539493,-8.08411239234536,-8.110747197892284,-8.081871027187843,3.8672654826539876
17,18.0,8.0,3.990949701226085,0.0,0.019,-8.0671682508956,-7.788180215412521,-7.30852744314629,-6.980320341357357,-7.082396352317151,-7.220084133341691,-7.374059000270768,-7.682237756132534,-8.02798797151019,-8.07503562653263,-7.6893273167525305,-7.5466398482056025,-7.031656040491955,-7.393186657805303,-7.619773233983178,-7.985221284082132,-6.80690847196666,-7.1361300022975795,-7.06928551172211,-6.9841843110439426,-6.9340448392958,-6.462838086595582,-7.104904711771787,-7.042930070213949,-6.966000461391414,-6.903374280823295,-7.734124952228985,-8.054603374133517,-8.117709233809762,-6.368187697036899,-6.976001392264777,-7.135792844903741,-7.1707267844441755,-7.128862149460048,-7.114733159551376,-7.1047222634870675,-7.086344652474368,-7.034362442073901,-7.024019769962749,-6.9983585522494725,-6.959780605268828,-6.915389664519177,-6.936797369668311,-6.931456903154206,-7.005209348594457,-8.149048671807982,-8.088183409225833,-8.106894364726887,-8.155770648943903,-8.164715329527297,-8.188727322513946,-8.16100429178533,3.8715783397816628
18,19.0,8.0,4.003271094327746,0.0,0.019,-8.193664918805803,-7.907676121450083,-7.402181659470494,-7.03902060161573,-7.1020219310812305,-7.214973732851763,-7.345296674195021,-7.62117221703678,-7.95749612819833,-8.003367056530799,-7.805807552281382,-7.647238523070081,-7.075753771996864,-7.365131680668141,-7.56522537518976,-7.915372270003171,-6.890912449671649,-7.176449815147481,-7.068861318856788,-6.959788145117722,-6.897800377499291,-6.558063991592565,-7.150279982241983,-7.044074920829411,-6.944038128226754,-6.86647494551792,-7.672953625841909,-7.984146317977013,-8.046377594489533,-6.468339102969357,-7.060839250522321,-7.201360624229599,-7.218928690219341,-7.16535050725136,-7.141210692335742,-7.113909483728209,-7.088728480575144,-7.0238493311222685,-7.008704547261415,-6.975054693147573,-6.930533251252362,-6.882028173866573,-6.898672339982222,-6.888778523771547,-6.996541065147705,-8.076139008811511,-8.014763685645207,-8.033611428961002,-8.080537197021872,-8.09074051559006,-8.116443521383976,-8.086469377729404,3.8691446869263664
19,20.0,8.0,4.00016360629664,0.0,0.019,-8.183444216885848,-7.906669989509057,-7.411493969174964,-7.065753232325149,-7.1730911513973705,-7.341843548239626,-7.549567065106651,-8.00185836239956,-8.498547108998949,-8.578654976113942,-7.807407198720419,-7.652004640060644,-7.114501418428498,-7.566870602082441,-7.90831070868636,-8.416574169830243,-6.904594178092064,-7.219136634343725,-7.182005324778668,-7.14453665470407,-7.136739325306593,-6.565579956708547,-7.187146371370123,-7.153512279308835,-7.1198145425459085,-7.109177602694144,-8.054072346615014,-8.527181536464889,-8.63015228946744,-6.473091461959006,-7.076696192494137,-7.220669364838143,-7.251188057330924,-7.209947096922051,-7.197988567095467,-7.204133492385641,-7.194143217296068,-7.1626227358147085,-7.159381386315994,-7.160234775969576,-7.131071412386282,-7.107763134387283,-7.14687030967864,-7.156191238860332,-7.134052226598612,-8.68054208364117,-8.582416109657117,-8.615872789181335,-8.67776764708813,-8.704355354052401,-8.726802223513465,-8.711224794053154,3.8767732975796156
